Cell_list	Type_list	Sector_list	EH84x_list	TT84x_list	CV94x_list	PT961_list	PT991_list	TT94x_list	TT961_list	R_list	Qs_list	Kv_list	nc_list	L_list
05L6_947	LSS	56	LQYAC_05L6_EH847.POSST	LQYAC_05L6_TT847A.POSST	QRLEA_05L6_CV947.POSST	QRLEA_05L6_PT961.POSST	QRLEA_05L6_PT991.POSST	QRLEA_05L6_TT947.POSST	QRLEA_05L6_TT961.POSST	2.000000e+01	4.000000e+00	5.000000e-02	4.000000e+00	6.945000e+00
04L6_947	LSS	56	LQYAD_04L6_EH847.POSST	LQYAD_04L6_TT847A.POSST	QRLEA_04L6_CV947.POSST	QRLEA_04L6_PT961.POSST	QRLEA_04L6_PT991.POSST	QRLEA_04L6_TT947.POSST	QRLEA_04L6_TT961.POSST	5.000000e+01	4.000000e+00	7.000000e-02	4.000000e+00	6.945000e+00
04R6_947	LSS	67	LQYAC_04R6_EH847.POSST	LQYAC_04R6_TT847A.POSST	QRLEA_04R6_CV947.POSST	QRLEA_04R6_PT961.POSST	QRLEA_04R6_PT991.POSST	QRLEA_04R6_TT947.POSST	QRLEA_04R6_TT961.POSST	1.000000e+02	0.000000e+00	5.000000e-02	4.000000e+00	6.945000e+00
05R6_947	LSS	67	LQYAD_05R6_EH847.POSST	LQYAD_05R6_TT847A.POSST	QRLEA_05R6_CV947.POSST	QRLEA_05R6_PT961.POSST	QRLEA_05R6_PT991.POSST	QRLEA_05R6_TT947.POSST	QRLEA_05R6_TT961.POSST	1.000000e+02	5.000000e+00	5.000000e-02	4.000000e+00	6.945000e+00
05R6_947	LSS	67	LBBRF_08R6_EH843.POSST	LBBRF_08R6_TT843.POSST	QRLCH_05R6_CV943.POSST	QRLBA_10R6_PT961.POSST	QRLBA_10R6_PT991.POSST	QRLCH_05R6_TT947.POSST	QRLBA_10R6_TT961.POSST	4.000000e+01	2.000000e+00	2.600000e-01	4.000000e+00	4.000000e+01
10R6_943	ARC	67	LQNKB_09R6_EH847.POSST	LQNKB_09R6_TT847.POSST	QRLBA_10R6_CV943.POSST	QRLBA_10R6_PT961.POSST	QRLBA_10R6_PT991.POSST	QRLBA_10R6_TT943.POSST	QRLBA_10R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	4.500000e+01
10R6_947	ARC	67	LQNCA_08R6_EH845.POSST	LQNCA_08R6_TT845.POSST	QRLBA_10R6_CV947.POSST	QRLBA_10R6_PT961.POSST	QRLBA_10R6_PT991.POSST	QRLBA_10R6_TT947.POSST	QRLBA_10R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	4.500000e+01
11R6_947	ARC	67	LQNEA_10R6_EH847.POSST	LQNEA_10R6_TT847.POSST	QRLAB_11R6_CV947.POSST	QRLBA_10R6_PT961.POSST	QRLBA_10R6_PT991.POSST	QRLAB_11R6_TT947.POSST	QRLBA_10R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	4.500000e+01
11R6_943	ARC	67	LBARB_12R6_EH843.POSST	LBARB_12R6_TT843.POSST	QRLAB_11R6_CV943.POSST	QRLAA_13R6_PT961.POSST	QRLAA_13R6_PT991.POSST	QRLAB_11R6_TT943.POSST	QRLAA_13R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
13R6_947	ARC	67	LQATT_12R6_EH847.POSST	LQATT_12R6_TT847.POSST	QRLAA_13R6_CV947.POSST	QRLAA_13R6_PT961.POSST	QRLAA_13R6_PT991.POSST	QRLAA_13R6_TT947.POSST	QRLAA_13R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
13R6_943	ARC	67	LBARB_14R6_EH843.POSST	LBARB_14R6_TT843.POSST	QRLAA_13R6_CV943.POSST	QRLAA_13R6_PT961.POSST	QRLAA_13R6_PT991.POSST	QRLAA_13R6_TT943.POSST	QRLAA_13R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
15R6_947	ARC	67	LQATT_14R6_EH847.POSST	LQATT_14R6_TT847.POSST	QRLAB_15R6_CV947.POSST	QRLAA_13R6_PT961.POSST	QRLAA_13R6_PT991.POSST	QRLAB_15R6_TT947.POSST	QRLAA_13R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
15R6_943	ARC	67	LBARB_16R6_EH843.POSST	LBARB_16R6_TT843.POSST	QRLAB_15R6_CV943.POSST	QRLAA_17R6_PT961.POSST	QRLAA_17R6_PT991.POSST	QRLAB_15R6_TT943.POSST	QRLAA_17R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
17R6_947	ARC	67	LQATT_16R6_EH847.POSST	LQATT_16R6_TT847.POSST	QRLAA_17R6_CV947.POSST	QRLAA_17R6_PT961.POSST	QRLAA_17R6_PT991.POSST	QRLAA_17R6_TT947.POSST	QRLAA_17R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
17R6_943	ARC	67	LBARB_18R6_EH843.POSST	LBARB_18R6_TT843.POSST	QRLAA_17R6_CV943.POSST	QRLAA_17R6_PT961.POSST	QRLAA_17R6_PT991.POSST	QRLAA_17R6_TT943.POSST	QRLAA_17R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
19R6_947	ARC	67	LQATT_18R6_EH847.POSST	LQATT_18R6_TT847.POSST	QRLAB_19R6_CV947.POSST	QRLAA_17R6_PT961.POSST	QRLAA_17R6_PT991.POSST	QRLAB_19R6_TT947.POSST	QRLAA_17R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
